,category,reviewTitle,rating,relevanceScore
18452,beli-harddisk-eksternal,siip,3,23.03
18703,beli-harddisk-eksternal,Pengirima,3,22.49
18820,beli-harddisk-eksternal,TOP,3,21.51
18852,beli-harddisk-eksternal,FD Sandisk,3,21.51
18907,beli-harddisk-eksternal,Storage capacity tidak 16gb,3,21.51
19215,beli-harddisk-eksternal,pengirimanya rada lama,3,30.58
19245,beli-harddisk-eksternal,Dilema,3,30.51
19278,beli-harddisk-eksternal,TV bukan untuk sendiri,3,29.01
19280,beli-harddisk-eksternal,Lumayan lah,3,29.01
19503,beli-harddisk-eksternal,biasa saja,3,23.06
19544,beli-harddisk-eksternal,Tidak Bisa USB movie,3,22.52
19591,beli-harddisk-eksternal,"tv 32""",3,21.51
20609,beli-harddisk-eksternal,Produk Bagus tapi Seller Mengecewakan,3,32.65
20701,beli-harddisk-eksternal,Cepat tpi kalau ORI masih sanksi,3,32.51
20779,beli-harddisk-eksternal,Kapasitas net,3,23.01
20966,beli-harddisk-eksternal,Pengiriman Lama,3,25.29
21199,beli-harddisk-eksternal,"Harga Standar, Kualitas Biasa",3,30.86
21323,beli-harddisk-eksternal,Harga murah,3,28.01
21412,beli-harddisk-eksternal,Pengiriman nya lama dan kurangnya respon dari Lzd,3,23.01
21475,beli-harddisk-eksternal,pengiriman agak lama,3,21.51
21607,beli-harddisk-eksternal,bagus produk nya,3,21.33
21611,beli-harddisk-eksternal,Cuma 29.5 GB,3,21.31
21613,beli-harddisk-eksternal,Pengiriman ok,3,21.31
21614,beli-harddisk-eksternal,Sandisk Ultra Micro SDHC 98MB/s 32GB Class 10 A1 With Adapter,3,21.31
21619,beli-harddisk-eksternal,Microsd sandisk 32GB,3,21.3
21699,beli-harddisk-eksternal,Barang,3,20.51
21717,beli-harddisk-eksternal,Good,3,20.51
21742,beli-harddisk-eksternal,Tiga Bintang,3,20.51
22405,beli-harddisk-eksternal,Produk tidak sesuai spesifikasi,3,30.51
22409,beli-harddisk-eksternal,"Produknya Bagus, Tapi Lazadanya?",3,30.51
22490,beli-harddisk-eksternal,Pengiriman Slow Respon,3,29.01
22554,beli-harddisk-eksternal,Pengiriman cepat tpi Kurir minta uang tambahan,3,28.01
24530,beli-harddisk-eksternal,Pengiriman terlambat,3,33.07
24544,beli-harddisk-eksternal,Laptop HP,3,31.34
24596,beli-harddisk-eksternal,sesuai harga,3,24.28
24667,beli-harddisk-eksternal,tak kasih bintang 3 dulu klo barangnya oke semua ditambahin lg 2 bintang.y klo nti pesen saya pesen lg,3,30.45
24896,beli-harddisk-eksternal,Kurang puas,3,31.95
24902,beli-harddisk-eksternal,Sedikit mengecewakan,3,29.47
24925,beli-harddisk-eksternal,Thanks,3,21.96
24928,beli-harddisk-eksternal,kirim barang ulang,3,21.95
24948,beli-harddisk-eksternal,Belum coba,3,21.51
24955,beli-harddisk-eksternal,Flash 16 GB nya tidak berfungsi dengan baik,3,21.51
24956,beli-harddisk-eksternal,joss,3,21.51
24960,beli-harddisk-eksternal,bagus,3,21.5
24961,beli-harddisk-eksternal,Oke jg,3,21.5
24996,beli-harddisk-eksternal,ok,3,15.01
25379,beli-harddisk-eksternal,Barang Sampai Cepat,3,22.49
25404,beli-harddisk-eksternal,ThinkPad 11e5V00,3,24.31
25586,beli-harddisk-eksternal,senang barang udah sampe,3,29.01
25619,beli-harddisk-eksternal,pengiriman cepat,3,21.51
25649,beli-harddisk-eksternal,Ingsyaallah puas,3,27
25669,beli-harddisk-eksternal,Flashdisk,3,26.95
25714,beli-harddisk-eksternal,Baik,3,19.6
25718,beli-harddisk-eksternal,Usb kereNz,3,19.59
25764,beli-harddisk-eksternal,"Kapasitas hanya 14,3",3,19.5
25768,beli-harddisk-eksternal,"Bagus,,tapi..",3,19.5
25769,beli-harddisk-eksternal,barang datangnya telat..,3,19.5
25791,beli-harddisk-eksternal,Tiga dulu deh,3,19.5
25865,beli-harddisk-eksternal,bagus,3,17
25866,beli-harddisk-eksternal,keren faboulous,3,17
25869,beli-harddisk-eksternal,Keren lucu,3,17
26057,beli-harddisk-eksternal,Tidak sesuai iklan,3,19.49
27180,beli-harddisk-eksternal,not bad,3,22.51
27200,beli-harddisk-eksternal,Packing Ok,3,24.01
27260,beli-harddisk-eksternal,Tiga Bintang,3,21.51
27872,beli-harddisk-eksternal,kurang bagus,3,21.51
27875,beli-harddisk-eksternal,it doesn't work on smart phones. but it's worth comparing to its price.,3,16.51
27876,beli-harddisk-eksternal,Produk mirip asli. Hanya tidak ada hologram di kemasan. Saat dicoba ternyata gagal simpan file sampai 30 Gb.,3,16.51
27931,beli-harddisk-eksternal,pengiriman cepat,3,25.52
27953,beli-harddisk-eksternal,Telah di terima,3,21.5
28042,beli-harddisk-eksternal,cocok,3,22.49
28079,beli-harddisk-eksternal,barang sudah sampai,3,21.51
28334,beli-harddisk-eksternal,botolnya pecah,3,22.49
28624,beli-harddisk-eksternal,sipp,3,29.01
28671,beli-harddisk-eksternal,Cukup kecewa,3,29.01
28974,beli-harddisk-eksternal,auto off tidak berfungsi,3,23.08
29354,beli-harddisk-eksternal,sesuai gambar,3,22.49
29460,beli-harddisk-eksternal,Perlu perubahan fitur penerimaan barang,3,27
29565,beli-harddisk-eksternal,Ya bagus,3,22
29570,beli-harddisk-eksternal,pengiriman cepat,3,19.5
29579,beli-harddisk-eksternal,ok,3,19.25
29828,beli-harddisk-eksternal,good,3,22.49
30423,beli-harddisk-eksternal,pengiriman terlambat sehari,3,26.67
30451,beli-harddisk-eksternal,kurir nyebelin,3,16.72
30452,beli-harddisk-eksternal,kurir nyebelin,3,16.72
30495,beli-harddisk-eksternal,Lumayan,3,20.04
30504,beli-harddisk-eksternal,Not Bad,3,19.18
30512,beli-harddisk-eksternal,Testimonial,3,19.09
30575,beli-harddisk-eksternal,Flashdisk,3,19.05
30752,beli-harddisk-eksternal,OKE,3,21.51
30803,beli-harddisk-eksternal,Lumayan bagus,3,20.51
30914,beli-harddisk-eksternal,Bagus,3,19.9
31790,beli-harddisk-eksternal,bagus,3,19
32105,beli-harddisk-eksternal,Bantuan,3,15.14
32224,beli-harddisk-eksternal,ikutan salah baca,3,29.5
32430,beli-harddisk-eksternal,Satisfied,3,19.38
32478,beli-harddisk-eksternal,Pengiriman Lama,3,17.51
32691,beli-harddisk-eksternal,Barang,3,21.51
32725,beli-harddisk-eksternal,siipp,3,21.51
32742,beli-harddisk-eksternal,Terlambat 1 hari,3,26.61
32792,beli-harddisk-eksternal,And Nothing Else Matters...,3,29.01
32793,beli-harddisk-eksternal,Puas dan Tingkatkan,3,26.6
32796,beli-harddisk-eksternal,"Cepat , Packing Bagus tapi...",3,26.41
32804,beli-harddisk-eksternal,Hardisk original Seagate,3,16.48
32806,beli-harddisk-eksternal,Seagate Hardisk,3,16.45
32826,beli-harddisk-eksternal,Cakep,3,26.55
33334,beli-harddisk-eksternal,bagus,3,21.51
33339,beli-harddisk-eksternal,Menyimpan data nya lemot,3,20.51
33598,beli-harddisk-eksternal,lumayan,3,25.82
34250,beli-harddisk-eksternal,Barang kurang,3,22
34594,beli-harddisk-eksternal,"Lumayan buat flashdisk orang yg cman nyimpen data doc,exl",3,29.99
35346,beli-harddisk-eksternal,sedikit kecewa,3,21.51
36813,beli-harddisk-eksternal,"sudah sampe dari kapan tau, barang sesuai bukan penjual nya yg salah tp sistem lazadanya yg ga beres.",3,15.01
40546,beli-harddisk-eksternal,"pedestal kecil......saat dikirim tidak di bubble wrap,agak kecewa dengan penanganannya",3,15.63
40707,beli-harddisk-eksternal,Bonus Antena kok ga ada??,3,33.11
40750,beli-harddisk-eksternal,doa aja,3,33.32
47432,beli-harddisk-eksternal,barang ok,3,22.47
47538,beli-harddisk-eksternal,usb yg lucu dan imut,3,27
52266,beli-harddisk-eksternal,"Lumayan bagus, tapi",3,27.93
61787,beli-harddisk-eksternal,TOP,3,26.78
61794,beli-harddisk-eksternal,Barang  bagus tapi bonusnya minus,3,26.6
61804,beli-harddisk-eksternal,Pelayanan oke,3,19.46
61814,beli-harddisk-eksternal,GARANSI,3,17.66
61866,beli-harddisk-eksternal,semoga real original,3,27.89
62500,beli-harddisk-eksternal,Bagus,3,18.78
65125,beli-harddisk-eksternal,Promo awal tahun jos,3,21.75
66515,beli-harddisk-eksternal,Murah.,3,20.51
66516,beli-harddisk-eksternal,sandisk,3,16.87
66523,beli-harddisk-eksternal,Sedikit mengecewakan,3,19.31
66629,beli-harddisk-eksternal,Makasih,3,21.68
67614,beli-harddisk-eksternal,rumayan,3,21.51
68240,beli-harddisk-eksternal,Lumayan,3,22.4
68247,beli-harddisk-eksternal,Puas,3,19.89
68249,beli-harddisk-eksternal,Sandisk Cruzer Blade - 16 GB,3,19.87
68271,beli-harddisk-eksternal,Tiga Bintang,3,19.5
68280,beli-harddisk-eksternal,Kapasitas tdk sesuai,3,19.5
68298,beli-harddisk-eksternal,Good,3,19.45
68320,beli-harddisk-eksternal,barang bagus,3,19.12
68407,beli-harddisk-eksternal,pouch nya kog warna Orange dan bermerek Touro???,3,27
70623,beli-harddisk-eksternal,Agak Sedih :(,3,23.01
70660,beli-harddisk-eksternal,barangnya tidak tahan lama,3,33.18
70679,beli-harddisk-eksternal,Warna Produk,3,20.51
70711,beli-harddisk-eksternal,Barang ok,3,31.43
70732,beli-harddisk-eksternal,Puas,3,21.95
70748,beli-harddisk-eksternal,Service,3,19.15
70900,beli-harddisk-eksternal,Jangan mengecewakan!!!,3,17.61
70915,beli-harddisk-eksternal,kurang puas,3,15.55
72130,beli-harddisk-eksternal,Kurang ramah,3,29.88
72136,beli-harddisk-eksternal,lumayan,3,27.4
72141,beli-harddisk-eksternal,Nice Produk,3,26.89
72150,beli-harddisk-eksternal,pengiriman lama,3,25.84
72154,beli-harddisk-eksternal,Bikin temen kerja jd kepengen ikut pesan..,3,25.35
72703,beli-harddisk-eksternal,good,3,19.21
73950,beli-harddisk-eksternal,Bagus,3,21.62
73955,beli-harddisk-eksternal,All hail lazada,3,21.59
74399,beli-harddisk-eksternal,All hail lazada,3,21.38
74437,beli-harddisk-eksternal,Pelayanan memuaskan,3,21.47
74580,beli-harddisk-eksternal,Satisfied Enough,3,26.6
74581,beli-harddisk-eksternal,PUAS,3,26.6
74583,beli-harddisk-eksternal,produk sudah diterima pagi ini,3,26.59
74621,beli-harddisk-eksternal,mantapp,3,19.5
74638,beli-harddisk-eksternal,USB SANDISK 16GB,3,19.15
74654,beli-harddisk-eksternal,Lumayan,3,19.11
74668,beli-harddisk-eksternal,sudah d terima,3,19.05
74841,beli-harddisk-eksternal,Tiga Bintang,3,22
75106,beli-harddisk-eksternal,tidak sesuai warna yang dipesan,3,29.99
75115,beli-harddisk-eksternal,Barang kurang,3,28.01
75116,beli-harddisk-eksternal,Average,3,27.52
75129,beli-harddisk-eksternal,Barang Bagus pengiriman lebih cepat dari perkiraan (y),3,28.01
75131,beli-harddisk-eksternal,Lumayan lah,3,27
75135,beli-harddisk-eksternal,Tiga Bintang,3,23.26
75139,beli-harddisk-eksternal,Sudah sampai,3,21.92
75140,beli-harddisk-eksternal,fast respon plis.,3,21.77
75142,beli-harddisk-eksternal,sesuai gambar,3,21.51
75592,beli-harddisk-eksternal,Bagus,3,21.62
75727,beli-harddisk-eksternal,BOLEH LAH,3,19.26
75734,beli-harddisk-eksternal,Ukuran tidak sesuai,3,20.51
75830,beli-harddisk-eksternal,Seagate 1TB Expansion - Kenkez OS,3,29.5
75834,beli-harddisk-eksternal,Barangnya ternyata ringan,3,27
